"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"BT2","1","+3V0","","","","adrians_favs:SMD_BATTERY_SINGLE_CELL_CR2032","https://www.renata.com/en/"
"C1,C2,C3,C5,C7,C9,C11","7","100NF","","","","adrians_favs:SMD_CAPACITOR_CERAMIC_0603","https://datasheets.kyocera-avx.com/X7RDielectric.pdf"
"C4,C21","2","10UF","","","","adrians_favs:SMD_CAPACITOR_CERAMIC_0603","https://datasheets.kyocera-avx.com/cx5r.pdf"
"C6,C8,C12,C13,C14,C15,C16,C17,C18,C19,C20","11","1UF","","","","adrians_favs:SMD_CAPACITOR_CERAMIC_0603","https://www.mouser.com/catalog/specsheets/avx_04122018_part%20number%20explanation.pdf?_gl=1*v45vqv*_gcl_au*MTcwMDcwNTkxNi4xNzY1ODQwODk5LjMyMzA4NjE4NS4xNzY1ODU2NjgyLjE3NjU4NTg0NzI.*_ga*MzkxMjkwNjMwLjE3NjU4NDA4OTk.*_ga_15W4STQT4T*czE3NjU4NDA4OTkkbzEkZzEkdDE3NjU4NTg0NzkkajE3JGwwJGgw"
"C10","1","1UF","","","","adrians_favs:SMD_CAPACITOR_TANTALUM_0603_1UF","https://datasheets.kyocera-avx.com/TAC.pdf"
"D1","1","Green","","","","adrians_favs:SMD_LED_GREEN_0603","~"
"D2,D3,D4","3","SMD_DIODE_MBR0530T1G","","","","adrians_favs:SMD_DIODE_MBR0530T1G","~"
"H1,H2,H3,H4","4","MountingHole","","Excluded from BOM","","MountingHole:MountingHole_2.2mm_M2","~"
"IC1","1","STM32G474CBT6TR","","","","adrians_favs:SMD_STM32G474CBT6TR","https://www.st.com/resource/en/datasheet/stm32g474cb.pdf"
"IC2","1","~","","","","adrians_favs:THT_WIFI_MODULE","https://cdn-learn.adafruit.com/downloads/pdf/adafruit-airlift-breakout.pdf"
"IC3","1","SMD_ADXL345BCCZ","","","","adrians_favs:SMD_ADXL345BCCZ","https://www.mouser.ca/datasheet/3/1014/1/5EB6D493A261F4A83E1FA0AE2BA84ED391EF50A03F09427C365C2A225C2ED909.pdf"
"J1","1","24 Pins","","","","adrians_favs:THT_CONNECTOR_JTAG_SWD","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=103308&DocType=Customer+Drawing&DocLang=English&PartCntxt=103308-5&DocFormat=pdf"
"J2","1","6871XX149022_687124149022","","","","adrians_favs:SMD_CONNECTOR_RIBBON_CABLE_24_PINS","https://www.we-online.com/components/products/datasheet/687124149022.pdf"
"L1","1","47uH","","","","adrians_favs:SMD_INDUCTOR_0603","~"
"Q1","1","SMD_MOSFET_NX3008NBKS","","","","adrians_favs:SMD_MOSFET_NX3008NBKS","https://assets.nexperia.com/documents/data-sheet/NX3008NBKS.pdf"
"R1","1","110R","","","","adrians_favs:SMD_RESISTOR_0603","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Data+Sheet%7F1773450%7FA1%7Fpdf%7FEnglish%7FENG_DS_1773450_A1.pdf%7FCAT-F52-R"
"R2,R3,R4,R5,R6,R7,R8,R9","8","10KR","","","","adrians_favs:SMD_RESISTOR_0603","https://www.vishay.com/docs/20037/rcae3.pdf"
"R10","1","1KR","","","","adrians_favs:SMD_RESISTOR_0603","https://www.mouser.com/catalog/specsheets/YAGEO_11022023_PYu-SR_20105_RoHS_L_11.pdf?_gl=1*19avuet*_gcl_au*MTcwMDcwNTkxNi4xNzY1ODQwODk5LjMyMzA4NjE4NS4xNzY1ODU2NjgyLjE3NjU4NTgwOTg.*_ga*MzkxMjkwNjMwLjE3NjU4NDA4OTk.*_ga_15W4STQT4T*czE3NjU4NDA4OTkkbzEkZzEkdDE3NjU4NTgxMTMkajI5JGwwJGgw"
"R11","1","1.5KR","","","","adrians_favs:SMD_RESISTOR_0603","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Data+Sheet%7F1773450%7FA1%7Fpdf%7FEnglish%7FENG_DS_1773450_A1.pdf%7FCAT-F52-R"
"R12","1","2.2R","","","","adrians_favs:SMD_RESISTOR_0603","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1622910&DocType=Customer+Drawing&DocLang=English&PartCntxt=1622910-3"
"RV1,RV2","2","100KR","","","","adrians_favs:THT_POTENTIOMETER_100KR","https://www.ttelectronics.com/TTElectronics/media/ProductFiles/Datasheet/P09x.pdf"
"SW1,SW3,SW4","3","SMD_BUTTON","","","","adrians_favs:SMD_BUTTON","https://www.mouser.ca/datasheet/3/315/1/TL3301CF260QG.pdf"
"SW2","1","SMD_SWITCH_HORIZONTAL","","","","adrians_favs:SMD_SWITCH_HORIZONTAL","https://www.ckswitches.com/media/1431/ayz.pdf"
